"ubicacion","cole_bilingue","cole_calendario","cole_caracter","cole_depto_ubicacion","cole_genero","cole_jornada","cole_naturaleza","fami_educacionmadre","fami_educacionpadre","estu_genero","fami_estratovivienda","fami_personashogar","fami_cuartoshogar","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","punt_ingles","punt_matematicas","punt_sociales_ciudadanas","punt_c_naturales","punt_lectura_critica","punt_global"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Ninguno","F","Estrato 2","7 a 8","Dos","No","Si","Si","32.0","30.0","32","33","35","162"
"URBANO","N","A","TÉCNICO/ACADÉMICO","PUTUMAYO","FEMENINO","COMPLETA","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","7 a 8","Cinco","No","No","No","41.0","48.0","44","39","44","218"
"URBANO","N","A","TÉCNICO/ACADÉMICO","PUTUMAYO","FEMENINO","COMPLETA","OFICIAL","Primaria incompleta","Primaria incompleta","F","Estrato 1","7 a 8","Cinco","No","No","No","41.0","48.0","44","39","44","218"
"URBANO","N","A","ACADÉMICO","BOGOTÁ","FEMENINO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","7 a 8","Dos","No","Si","Si","74.0","65.0","66","66","64","330"
"URBANO","N","A","ACADÉMICO","BOGOTÁ","FEMENINO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","7 a 8","Dos","No","Si","Si","74.0","65.0","66","66","64","330"
"URBANO","N","A","ACADÉMICO","CUNDINAMARCA","MIXTO","TARDE","OFICIAL","Primaria incompleta","Primaria incompleta","M","Estrato 1","Seis","Uno","No","No","No","43.0","51.0",,,,
"URBANO","N","A","TÉCNICO","BOYACA","MIXTO","COMPLETA","OFICIAL","Técnica o tecnológica completa","Primaria completa","M","Estrato 1","Dos","Dos","Si","Si","Si","53.0","52.0","60","55","56","278"
"URBANO","N","A","ACADÉMICO","BOLIVAR","MIXTO","TARDE","OFICIAL","No sabe","No sabe","F","Estrato 2","Cuatro","Dos","No","No","No","47.0","44.0","45","38","47","219"
"RURAL","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 2","3 a 4","Dos","No","Si","Si","49.0","63.0","33","52","49","246"
"RURAL","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 2","3 a 4","Dos","No","Si","Si","49.0","63.0","33","52","49","246"
"RURAL","N","A","ACADÉMICO","SANTANDER","MIXTO","COMPLETA","NO OFICIAL","Primaria incompleta","Primaria incompleta","M","Estrato 1","Cinco","Dos","No","No","No","20.0","50.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","ANTIOQUIA","MIXTO","TARDE","OFICIAL","Secundaria (Bachillerato) incompleta","Primaria completa","F","Estrato 2","Siete","Tres","No","Si","Si","43.11","48.17",,,,
"URBANO","","A","ACADÉMICO","CORDOBA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","Seis","Dos","No","No","No","40.0","49.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","VALLE","MIXTO","MAÑANA","OFICIAL","Técnica o tecnológica completa","Secundaria (Bachillerato) incompleta","F","Estrato 1","Tres","Tres","No","Si","Si","43.0","47.0","49","52","48","243"
"RURAL","S","B","ACADÉMICO","ANTIOQUIA","MIXTO","COMPLETA","NO OFICIAL","Secundaria (Bachillerato) completa","Educación profesional completa","M","Estrato 4","3 a 4","Tres","Si","Si","Si","66.0","53.0","50","50","55","265"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 2","Seis","Cuatro","No","No","Si","48.0","50.0","54","55","45","254"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","TARDE","OFICIAL","Primaria completa","Primaria completa","F","Estrato 2","Cinco","Tres","No","Si","Si","43.0","56.0",,,,
"URBANO","N","A","TÉCNICO/ACADÉMICO","ATLANTICO","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Educación profesional completa","M","Estrato 2","Cuatro","Dos","No","No","No","39.0","52.0",,,,
"URBANO","N","A","TÉCNICO","RISARALDA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 2","Siete","Cuatro","No","No","No","43.0","44.0","49","44","49","231"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","COMPLETA","NO OFICIAL","Educación profesional completa","Educación profesional completa","M","Estrato 3","Cuatro","Tres","Si","Si","Si","60.0","57.0","51","61","55","282"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","M","Estrato 3","Cuatro","Tres","No","No","No","47.0","56.0",,,,
"URBANO","N","A","ACADÉMICO","HUILA","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","Cuatro","Cuatro","No","Si","No","34.0","59.0",,,,
"URBANO","N","A","ACADÉMICO","HUILA","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","Cuatro","Cuatro","No","Si","No","34.0","59.0",,,,
"URBANO","N","A","ACADÉMICO","HUILA","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","Cuatro","Cuatro","No","Si","No","34.0","59.0",,,,
"URBANO","N","A","ACADÉMICO","HUILA","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","Cuatro","Cuatro","No","Si","No","34.0","59.0",,,,
"URBANO","N","A","ACADÉMICO","HUILA","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","F","Estrato 2","Cuatro","Cuatro","No","Si","No","34.0","59.0",,,,
"URBANO","N","A","ACADÉMICO","CORDOBA","MIXTO","SABATINA","NO OFICIAL","Primaria completa","Primaria completa","F","Estrato 1","7 a 8","Dos","No","No","No","36.0","44.0","36","40","40","198"
"URBANO","N","A","ACADÉMICO","BOGOTA","MIXTO","MAÑANA"," D.C.""","Dos","Secundaria (Bachillerato) incompleta","05/08/1996","Primaria incompleta","Estrato 2","N","Tres","Si","Si",,"35.0","49",,,
"URBANO","","A","ACADÉMICO","ANTIOQUIA","MIXTO","MAÑANA","NO OFICIAL","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","M","Estrato 1","Siete","Cinco","No","Si","Si","46.0","68.0","58","66","67","317"
"URBANO","N","A","TÉCNICO/ACADÉMICO","META","MIXTO","MAÑANA","OFICIAL","Primaria incompleta","Secundaria (Bachillerato) incompleta","M","Estrato 2","Cinco","Tres","No","Si","Si","53.0","64.0","56","49","60","285"
"URBANO","","A","ACADÉMICO","BOGOTÁ","MIXTO","TARDE","OFICIAL","Técnica o tecnológica incompleta","Técnica o tecnológica incompleta","M","Estrato 3","5 a 6","Cuatro","No","Si","Si","52.0","53.0","43","56","53","257"
"URBANO","","A","ACADÉMICO","BOGOTÁ","MIXTO","TARDE","OFICIAL","Técnica o tecnológica incompleta","Técnica o tecnológica incompleta","M","Estrato 3","5 a 6","Cuatro","No","Si","Si","52.0","53.0","43","56","53","257"
"URBANO","N","A","ACADÉMICO","SUCRE","MIXTO","MAÑANA","OFICIAL","Primaria completa","Primaria completa","F","Estrato 1","Cuatro","Dos","No","Si","No","46.0","34.0","46","47","41","212"
"RURAL","N","A","TÉCNICO/ACADÉMICO","CUNDINAMARCA","MIXTO","MAÑANA","OFICIAL","Secundaria (Bachillerato) incompleta","Primaria incompleta","F","Estrato 1","Seis","Tres","No","Si","No","50.0","42.0","44","53","54","242"
